timestamp,price,equity,action
2026-08-17T12:30:00-04:00,339.0419921875,150.0,NONE
2026-08-17T13:30:00-04:00,339.47900390625,150.0,NONE
2026-08-17T14:30:00-04:00,340.67498779296875,150.0,NONE
2026-08-17T15:30:00-04:00,339.3399963378906,149.85,BUY
2026-08-18T09:30:00-04:00,336.85980224609375,148.75476487102424,NONE
2026-08-18T10:30:00-04:00,337.3999938964844,148.84431614718855,SELL
2026-08-18T11:30:00-04:00,337.2149963378906,148.84431614718855,NONE
2026-08-18T12:30:00-04:00,336.9549865722656,148.84431614718855,NONE
2026-08-18T13:30:00-04:00,336.42498779296875,148.84431614718855,NONE
2026-08-18T14:30:00-04:00,336.6700134277344,148.84431614718855,NONE
2026-08-18T15:30:00-04:00,336.885009765625,148.84431614718855,NONE
2026-08-19T09:30:00-04:00,342.3399963378906,148.84431614718855,NONE
2026-08-19T10:30:00-04:00,347.44000244140625,148.84431614718855,NONE
2026-08-19T11:30:00-04:00,348.2099914550781,148.84431614718855,NONE
2026-08-19T12:30:00-04:00,346.885009765625,148.69547183104137,BUY
2026-08-19T13:30:00-04:00,348.2900085449219,149.297737569047,NONE
2026-08-19T14:30:00-04:00,348.29998779296875,149.30201526613703,NONE
2026-08-19T15:30:00-04:00,351.110107421875,150.5065990687182,NONE
2026-08-20T09:30:00-04:00,340.30999755859375,145.8770319593388,NONE
2026-08-20T10:30:00-04:00,343.9200134277344,147.42449869288865,NONE
2026-08-20T11:30:00-04:00,344.80999755859375,147.80599863244984,NONE
2026-08-20T12:30:00-04:00,342.3699951171875,146.76006898983158,NONE
2026-08-20T13:30:00-04:00,343.3472900390625,147.1789955085199,NONE
2026-08-20T14:30:00-04:00,343.32501220703125,147.16944590951158,NONE
2026-08-20T15:30:00-04:00,345.2799987792969,148.00746900824046,NONE
2026-08-21T09:30:00-04:00,359.8026123046875,154.2327217853405,NONE
2026-08-21T10:30:00-04:00,358.9649963378906,153.87366994427006,NONE
2026-08-21T11:30:00-04:00,363.3699951171875,155.76191346434973,NONE
2026-08-21T12:30:00-04:00,363.5599060058594,155.84332052548504,NONE
2026-08-21T13:30:00-04:00,364.31500244140625,156.16699960529724,NONE
2026-08-21T14:30:00-04:00,364.1400146484375,156.09198946733326,NONE
2026-08-21T15:30:00-04:00,362.8800048828125,155.55187461273655,NONE
